STUDENTID,FIRSTNAME,LASTNAME,MAJOR,PHONE,GPA,DOB,ASFDASFDASFAS
2019765000,Janet,Baker,csat,6458796453,3.45,22/07/1993,
2019765001,Darren,Kirk,cpct,6547364759,2.9,14/04/1995,
2019765002,Sophie,Meadows,aimt,2459874659,3.41,16/06/1997,
2019765003,Ravi,Patel,hclo,3438768745,3.21,13/11/1994,
2019765004,Daisy,Rogers,mstc,6479881870,3.25,19/04/1996,
2019765005,Tom,Rogers,csat,2438759429,2.89,21/01/1992,
2019765006,Brett,Akers,csat,6479998570,2.54,19/03/1994,
2019765007,John,Deakin,cpct,4378574304,3.29,13/01/1993,
2019765008,Celia,Fisher,mstc,4379895678,3.44,14/10/1994,
2019765009,Leo,Harris,hclo,6479458879,3.12,10/10/1995,
2019765010,Shankunthala,Patel,aimt,6478887669,2.99,12/12/1993,
2019765011,Sally,Brown,hclo,2438887878,3.1,21/01/1996,
2019765012,Jane,Carter,mstc,2438576009,2.89,15/04/1994,
2019765013,Paul,Edwards,hclo,6479098769,2.77,11/11/1994,
2019765014,Rachael,Harris,hclo,6376764448,2.67,12/11/1993,
2019765015,Martin,Lampton,cpct,6274990909,3.08,4/5/1994,
