STUDENTID,FIRSTNAME,LASTNAME,MAJOR,PHONE,GPA,DOB
1,abc,ddd,cs,453989433,2.3,november 3rd 1995
2,asdfa,asdfasd,cs,453090598,2.5,october 14th 1992
3,rds,sdfr,cpct,49233,3.4,january 13th 1993
5,asfasf,asdfasd,csat,459068395,2.9,july 18th 1995
45,rdsed,earb,cs,85035789,3.6,march 19th  1994
99,John,Doe,CSAT,4940490394,3.5,12/123/44
459,self,study,room,193875038,3.4,12/3/1993
33,askd,asldid,mcs,599485938,2.3,12/3/1993
98,safo,ksdfk,lsd,40553958,3.4,12/3/1993
98,iasdf,asdkf,llsd,458030393,3.4,12/3/1993
